"Timestamp","Age","Shoe Size","How long have you been running? (number of years)","How many pairs of running shoes do you currently own?","How many pairs of running shoes are in your current rotation?","What brands are represented in your collection and how many pairs do you have for those brands? [Adidas]","What brands are represented in your collection and how many pairs do you have for those brands? [Altra]","What brands are represented in your collection and how many pairs do you have for those brands? [Asics]","What brands are represented in your collection and how many pairs do you have for those brands? [Brooks]","What brands are represented in your collection and how many pairs do you have for those brands? [Hoka]","What brands are represented in your collection and how many pairs do you have for those brands? [Mizuno]","What brands are represented in your collection and how many pairs do you have for those brands? [New Balance]","What brands are represented in your collection and how many pairs do you have for those brands? [Newton]","What brands are represented in your collection and how many pairs do you have for those brands? [Nike]","What brands are represented in your collection and how many pairs do you have for those brands? [On]","What brands are represented in your collection and how many pairs do you have for those brands? [Salming]","What brands are represented in your collection and how many pairs do you have for those brands? [Saucony]","What brands are represented in your collection and how many pairs do you have for those brands? [Skechers]","What brands are represented in your collection and how many pairs do you have for those brands? [Other]","Do you participate in races?","If yes, what distance do you race most often?","On average, how many miles per week do you run?"
"2019/04/17 2:17:59 PM MDT","33","11 M","19","19","5","1 pair","1 pair","1 pair","2 pairs","3 pairs","1 pair","3 pairs","","","3 pairs","","4 pairs","","","Yes","Marathon ","5"
"2019/04/17 2:18:15 PM MDT","20","8.5 M","7","6","4","","","","4 pairs","","","","","2 pairs","","","","","","Yes","Half marathon","45"
"2019/04/17 2:21:31 PM MDT","52","12.5 M","35","12","4","1 pair","","","1 pair","","1 pair","","","6 pairs","","","","","3 pairs","Yes","5k","50"
"2019/04/17 2:21:32 PM MDT","43","10.5 M","7","14","4","","","10 or more pairs","1 pair","1 pair","","","","","","","1 pair","","","Yes","Half Marathon","30"
"2019/04/17 2:25:22 PM MDT","39","11 M","7","13","6","","4 pairs","2 pairs","","4 pairs","","","","1 pair","","","","","2 pairs","Yes","50 mile","50"
"2019/04/17 2:25:37 PM MDT","43","11 W","5","","13","","","","7 pairs","","","2 pairs","","4 pairs","","","","","","Yes","5k","40"
"2019/04/17 2:25:56 PM MDT","45","9.5 M","10","30","6","3 pairs","","","1 pair","4 pairs","","2 pairs","","7 pairs","","","1 pair","","10 or more pairs","Yes","Ultras","35"
"2019/04/17 2:26:15 PM MDT","37","11 M","20","10","7","","","","2 pairs","1 pair","1 pair","1 pair","","2 pairs","","","1 pair","1 pair","1 pair","Yes","13.1 or 50k","30"
"2019/04/17 2:26:42 PM MDT","38","12 M","5","12","12","","","2 pairs","","","","2 pairs","","2 pairs","","","1 pair","3 pairs","2 pairs","Yes","Half Marathon","60"
"2019/04/17 2:28:12 PM MDT","33","11 M","8","16","8","","","2 pairs","1 pair","","","1 pair","","1 pair","","","2 pairs","4 pairs","2 pairs","Yes","5k","25"
"2019/04/17 2:31:07 PM MDT","28","9 W","22","5","4","","","","2 pairs","","","","","1 pair","","","","1 pair","","Yes","Half marathon","35"
"2019/04/17 2:33:12 PM MDT","29","12 M","6","13","7","","2 pairs","","","2 pairs","","","","","","","3 pairs","6 pairs","","Yes","Half marathon ","35"
"2019/04/17 2:34:32 PM MDT","35","9.5 M","24","15","4","","","","","1 pair","","1 pair","5 pairs","2 pairs","","","","3 pairs","3 pairs","Yes","Marathon","35"
"2019/04/17 2:35:36 PM MDT","46","10 W","20","30","8","2 pairs","","","3 pairs","1 pair","4 pairs","2 pairs","1 pair","4 pairs","1 pair","","4 pairs","5 pairs","3 pairs","Yes","Half marathon","40"
"2019/04/17 2:36:21 PM MDT","22","9.5 M","10","10","8","1 pair","","","1 pair","","","","","5 pairs","","","1 pair","","","Yes","5K","85"
"2019/04/17 2:37:06 PM MDT","37","11.5 M","4","12","3","1 pair","1 pair","2 pairs","","1 pair","","1 pair","","","","1 pair","1 pair","","4 pairs","Yes","10K","18.6"
"2019/04/17 2:39:43 PM MDT","43","8.5 W","10","20","10","2 pairs","1 pair","","4 pairs","","","","","","","","3 pairs","","","Yes","marathon","40"
"2019/04/17 2:40:30 PM MDT","49","9.5 M","15","11","4","","1 pair","1 pair","2 pairs","2 pairs","","1 pair","1 pair","","1 pair","","","","","Yes","Marathon or longer","45"
"2019/04/17 2:40:41 PM MDT","31","10.5 M","15","12","8","","","","","2 pairs","3 pairs","","","5 pairs","","","","","","Yes","Ultra","70"
"2019/04/17 2:49:46 PM MDT","39","14 M","3 ","11","5","","1 pair","","1 pair","","","","","2 pairs","","","","1 pair","","Yes","5k","20"
"2019/04/17 2:51:50 PM MDT","70","11 M","9","10","5","","1 pair","","","","","","","","","","2 pairs","7 pairs","","Yes","Half marathon","40"
"2019/04/17 3:00:42 PM MDT","53","11.5 W","5","9","5","","","","","","","1 pair","","3 pairs","","1 pair","","","","Yes","Marathon","15"
"2019/04/17 3:02:05 PM MDT","62","8.5 M","48","11","3","4 pairs","","","2 pairs","1 pair","1 pair","1 pair","1 pair","2 pairs","","","","","","Yes","5k","35"
"2019/04/17 3:02:50 PM MDT","56","9 M","9","4","3","","","","","","","","","","","","3 pairs","","1 pair","Yes","5k","20 "
"2019/04/17 3:04:14 PM MDT","29","9.5 W","2","3","2","1 pair","","","2 pairs","","","","","","","","","","","Yes","Half marathon ","35"
"2019/04/17 3:04:53 PM MDT","51","11 M","35","50","5","3 pairs","1 pair","2 pairs","3 pairs","2 pairs","","3 pairs","","4 pairs","1 pair","1 pair","2 pairs","5 pairs","9 pairs","Yes","marathon","50"
"2019/04/17 3:09:24 PM MDT","35","8 W","5","6","4","","","","","","","","","6 pairs","","","","","","Yes","5/10k","35"
"2019/04/17 3:10:56 PM MDT","53","10.5 M","10","20","10","1 pair","1 pair","1 pair","1 pair","3 pairs","2 pairs","5 pairs","1 pair","2 pairs","","","1 pair","6 pairs","1 pair","Yes","5k","35"
